#i;ra;ec;corners
100;1.000000e+01;-4.800000e+01;[[8.000000, -50.000000], [12.000000,-50.000000], [12.000000,-46.000000], [8.000000, -46.000000]]
101;1.000000e+01;-4.400000e+01;[[8.000000, -46.000000], [12.000000,-46.000000], [12.000000,-42.000000], [8.000000, -42.000000]]
102;1.000000e+01;-4.000000e+01;[[8.000000, -42.000000], [12.000000,-42.000000], [12.000000,-38.000000], [8.000000, -38.000000]]
103;1.000000e+01;-3.600000e+01;[[8.000000, -38.000000], [12.000000,-38.000000], [12.000000,-34.000000], [8.000000, -34.000000]]
104;1.000000e+01;-3.200000e+01;[[8.000000, -34.000000], [12.000000,-34.000000], [12.000000,-30.000000], [8.000000, -30.000000]]
105;1.000000e+01;-2.800000e+01;[[8.000000, -30.000000], [12.000000,-30.000000], [12.000000,-26.000000], [8.000000, -26.000000]]
106;1.000000e+01;-2.400000e+01;[[8.000000, -26.000000], [12.000000,-26.000000], [12.000000,-22.000000], [8.000000, -22.000000]]
107;1.000000e+01;-2.000000e+01;[[8.000000, -22.000000], [12.000000,-22.000000], [12.000000,-18.000000], [8.000000, -18.000000]]
108;1.000000e+01;-1.600000e+01;[[8.000000, -18.000000], [12.000000,-18.000000], [12.000000,-14.000000], [8.000000, -14.000000]]
109;1.000000e+01;-1.200000e+01;[[8.000000, -14.000000], [12.000000,-14.000000], [12.000000,-10.000000], [8.000000, -10.000000]]
110;1.000000e+01;-8.000000e+00;[[8.000000, -10.000000], [12.000000,-10.000000], [12.000000,-6.000000], [8.000000, -6.000000]]
111;1.000000e+01;-4.000000e+00;[[8.000000, -6.000000], [12.000000,-6.000000], [12.000000,-2.000000], [8.000000, -2.000000]]
112;1.000000e+01;0.000000e+00;[[8.000000, -2.000000], [12.000000,-2.000000], [12.000000,2.000000], [8.000000, 2.000000]]
113;1.000000e+01;4.000000e+00;[[8.000000, 2.000000], [12.000000,2.000000], [12.000000,6.000000], [8.000000, 6.000000]]
114;1.000000e+01;8.000000e+00;[[8.000000, 6.000000], [12.000000,6.000000], [12.000000,10.000000], [8.000000, 10.000000]]
115;1.000000e+01;1.200000e+01;[[8.000000, 10.000000], [12.000000,10.000000], [12.000000,14.000000], [8.000000, 14.000000]]
116;1.000000e+01;1.600000e+01;[[8.000000, 14.000000], [12.000000,14.000000], [12.000000,18.000000], [8.000000, 18.000000]]
117;1.000000e+01;2.000000e+01;[[8.000000, 18.000000], [12.000000,18.000000], [12.000000,22.000000], [8.000000, 22.000000]]
118;1.000000e+01;2.400000e+01;[[8.000000, 22.000000], [12.000000,22.000000], [12.000000,26.000000], [8.000000, 26.000000]]
119;1.000000e+01;2.800000e+01;[[8.000000, 26.000000], [12.000000,26.000000], [12.000000,30.000000], [8.000000, 30.000000]]
120;1.000000e+01;3.200000e+01;[[8.000000, 30.000000], [12.000000,30.000000], [12.000000,34.000000], [8.000000, 34.000000]]
121;1.000000e+01;3.600000e+01;[[8.000000, 34.000000], [12.000000,34.000000], [12.000000,38.000000], [8.000000, 38.000000]]
122;1.000000e+01;4.000000e+01;[[8.000000, 38.000000], [12.000000,38.000000], [12.000000,42.000000], [8.000000, 42.000000]]
123;1.000000e+01;4.400000e+01;[[8.000000, 42.000000], [12.000000,42.000000], [12.000000,46.000000], [8.000000, 46.000000]]
124;1.000000e+01;4.800000e+01;[[8.000000, 46.000000], [12.000000,46.000000], [12.000000,50.000000], [8.000000, 50.000000]]
125;1.000000e+01;5.200000e+01;[[8.000000, 50.000000], [12.000000,50.000000], [12.000000,54.000000], [8.000000, 54.000000]]
126;1.000000e+01;5.600000e+01;[[8.000000, 54.000000], [12.000000,54.000000], [12.000000,58.000000], [8.000000, 58.000000]]
127;1.000000e+01;6.000000e+01;[[8.000000, 58.000000], [12.000000,58.000000], [12.000000,62.000000], [8.000000, 62.000000]]
128;1.000000e+01;6.400000e+01;[[8.000000, 62.000000], [12.000000,62.000000], [12.000000,66.000000], [8.000000, 66.000000]]
129;1.000000e+01;6.800000e+01;[[8.000000, 66.000000], [12.000000,66.000000], [12.000000,70.000000], [8.000000, 70.000000]]
130;1.000000e+01;7.200000e+01;[[8.000000, 70.000000], [12.000000,70.000000], [12.000000,74.000000], [8.000000, 74.000000]]
131;1.000000e+01;7.600000e+01;[[8.000000, 74.000000], [12.000000,74.000000], [12.000000,78.000000], [8.000000, 78.000000]]
132;1.000000e+01;8.000000e+01;[[8.000000, 78.000000], [12.000000,78.000000], [12.000000,82.000000], [8.000000, 82.000000]]
133;1.000000e+01;8.400000e+01;[[8.000000, 82.000000], [12.000000,82.000000], [12.000000,86.000000], [8.000000, 86.000000]]
134;1.000000e+01;8.800000e+01;[[8.000000, 86.000000], [12.000000,86.000000], [12.000000,90.000000], [8.000000, 90.000000]]
135;1.400000e+01;-8.800000e+01;[[12.000000, -90.000000], [16.000000,-90.000000], [16.000000,-86.000000], [12.000000, -86.000000]]
136;1.400000e+01;-8.400000e+01;[[12.000000, -86.000000], [16.000000,-86.000000], [16.000000,-82.000000], [12.000000, -82.000000]]
137;1.400000e+01;-8.000000e+01;[[12.000000, -82.000000], [16.000000,-82.000000], [16.000000,-78.000000], [12.000000, -78.000000]]
138;1.400000e+01;-7.600000e+01;[[12.000000, -78.000000], [16.000000,-78.000000], [16.000000,-74.000000], [12.000000, -74.000000]]
